time_tag,Kp,Unnamed: 2,2MeV,131keV,272keV,380keV,906keV,Nsw,Vsw,by,bz,mlt
2024-04-14T05:00:00.000Z,1.3330000000000002,,4.0,1665.8187255859375,182.0029602050781,82.94832611083984,9.098896026611328,,,,,23.98
2024-04-14T05:05:00.000Z,1.3330000000000002,,39.471473693847656,1655.5404052734375,177.47579956054688,79.49844360351562,8.66610050201416,,,,,0.06
2024-04-14T05:10:00.000Z,1.3330000000000002,,72.34026336669922,1630.3857421875,182.9996795654297,76.58396911621094,8.885863304138184,,,,,0.14
2024-04-14T05:15:00.000Z,1.3330000000000002,,17.892629623413086,1608.473388671875,177.09202575683594,76.06752014160156,9.025007247924805,,,,,0.22
2024-04-14T05:20:00.000Z,1.3330000000000002,,42.38920211791992,1595.275390625,185.12974548339844,81.81254577636719,8.782955169677733,,,,,0.31
2024-04-14T05:25:00.000Z,1.3330000000000002,,103.56976318359376,1565.2513427734375,175.99850463867188,81.69255065917969,8.907464027404785,,,,,0.39
2024-04-14T05:30:00.000Z,1.3330000000000002,,47.33086776733398,1565.423095703125,180.18560791015625,80.3251724243164,8.980740547180176,,,,,0.47
2024-04-14T05:35:00.000Z,1.3330000000000002,,58.95819473266602,1559.590576171875,181.2311248779297,77.25361633300781,8.834088325500488,,,,,0.55
2024-04-14T05:40:00.000Z,1.3330000000000002,,25.55200004577637,1556.934814453125,180.56039428710938,78.4420394897461,8.592093467712402,,,,,0.63
2024-04-14T05:45:00.000Z,1.3330000000000002,,47.537353515625,1534.3402099609375,181.77394104003903,79.35309600830078,8.702035903930664,,,,,0.72
2024-04-14T05:50:00.000Z,1.3330000000000002,,4.0,1552.2183837890625,182.9879302978516,80.34359741210938,8.665349960327147,,,,,0.8
2024-04-14T05:55:00.000Z,1.3330000000000002,,86.28710174560547,1556.8544921875,181.0531463623047,82.44320678710938,9.222460746765137,,,,,0.88
2024-04-14T06:00:00.000Z,1.3330000000000002,,,,,,,,,,,0.96
2024-04-14T06:05:00.000Z,1.3330000000000002,,,,,,,,,,,1.05
2024-04-14T06:10:00.000Z,1.3330000000000002,,,,,,,,,,,1.13
2024-04-14T06:15:00.000Z,1.3330000000000002,,,,,,,,,,,1.21
2024-04-14T06:20:00.000Z,1.3330000000000002,,,,,,,,,,,1.29
2024-04-14T06:25:00.000Z,1.3330000000000002,,,,,,,,,,,1.37
2024-04-14T06:30:00.000Z,1.3330000000000002,,,,,,,,,,,1.45
2024-04-14T06:35:00.000Z,1.3330000000000002,,,,,,,0.74,333.5,2.83,3.1,1.54
2024-04-14T06:40:00.000Z,1.3330000000000002,,,,,,,2.8,331.8,4.46,1.19,1.62
2024-04-14T06:45:00.000Z,1.3330000000000002,,,,,,,2.36,334.5,4.78,-0.03,1.7
2024-04-14T06:50:00.000Z,1.3330000000000002,,4.0,1630.5386962890625,165.95742797851562,71.08837127685547,8.245096206665039,,,,,1.78
2024-04-14T06:55:00.000Z,1.3330000000000002,,61.77089309692383,1697.048583984375,171.0658416748047,72.81958770751953,7.932791233062744,2.82,327.5,4.05,-0.46,1.86
2024-04-14T07:00:00.000Z,1.3330000000000002,,26.99379730224609,1707.5255126953125,174.24913024902344,77.59524536132812,9.905037879943848,2.16,323.7,3.39,-0.85,1.95
2024-04-14T07:05:00.000Z,1.3330000000000002,,39.36457061767578,1719.3629150390625,178.94090270996094,83.93661499023438,8.218810081481934,,,,,2.03
2024-04-14T07:10:00.000Z,1.3330000000000002,,44.41694259643555,1713.6553955078125,181.28565979003903,77.39756774902344,8.614734649658201,1.89,323.9,4.5,-2.47,2.11
2024-04-14T07:15:00.000Z,1.3330000000000002,,24.372920989990234,1720.605224609375,177.97816467285156,75.8919677734375,8.959343910217285,1.74,329.9,2.64,-1.46,2.19
2024-04-14T07:20:00.000Z,1.3330000000000002,,36.04471206665039,1677.3118896484375,180.70083618164062,81.75757598876953,9.274648666381836,,,,,2.27
2024-04-14T07:25:00.000Z,1.3330000000000002,,129.89546203613278,1644.53515625,197.99517822265625,82.64881134033203,9.003336906433105,1.82,324.4,3.99,-1.92,2.36
2024-04-14T07:30:00.000Z,1.3330000000000002,,69.65242767333984,1522.6644287109375,176.59188842773438,85.1238784790039,9.259739875793457,,,,,2.44
2024-04-14T07:35:00.000Z,1.3330000000000002,,34.292537689208984,1418.85400390625,198.8234100341797,77.6319808959961,8.247771263122559,1.27,332.9,4.38,-2.95,2.52
2024-04-14T07:40:00.000Z,1.3330000000000002,,44.07827377319336,1426.30078125,173.27638244628906,73.76689147949219,8.980740547180176,101.68,297.5,4.36,-2.92,2.6
2024-04-14T07:45:00.000Z,1.3330000000000002,,44.29423904418945,1506.785400390625,160.04513549804688,68.85350799560547,7.734506607055664,1.68,332.8,2.03,-1.57,2.68
2024-04-14T07:50:00.000Z,1.3330000000000002,,124.56922912597656,1544.8521728515625,165.23825073242188,74.42151641845703,7.851827621459961,1.68,332.8,0.55,0.47,2.76
2024-04-14T07:55:00.000Z,1.3330000000000002,,4.0,1514.0946044921875,173.02813720703125,76.50244903564453,8.82692813873291,1.7,334.6,-2.23,-1.13,2.85
2024-04-14T08:00:00.000Z,1.3330000000000002,,118.30796813964844,1429.2349853515625,160.78392028808594,67.04426574707031,8.95063304901123,1.47,329.6,-3.01,-2.17,2.93
2024-04-14T08:05:00.000Z,1.3330000000000002,,4.0,1360.652099609375,143.69468688964844,63.6338005065918,7.645479202270508,,,,,3.01
2024-04-14T08:10:00.000Z,1.3330000000000002,,4.0,1198.7510986328125,140.06196594238278,65.5008544921875,9.544753074645996,2.04,334.1,-2.09,0.1,3.09
2024-04-14T08:15:00.000Z,1.3330000000000002,,78.63164520263672,1161.9251708984375,128.73930358886722,59.62799835205078,8.102146148681639,2.44,339.1,-2.0,0.3,3.17
2024-04-14T08:20:00.000Z,1.3330000000000002,,51.91094207763672,1107.2716064453123,137.619140625,65.45440673828125,10.3531494140625,2.0,338.6,-3.11,0.93,3.25
2024-04-14T08:25:00.000Z,1.3330000000000002,,70.93069458007812,1230.8760986328125,165.67617797851562,74.62676239013672,10.538827896118164,1.91,333.6,-3.1,0.92,3.34
2024-04-14T08:30:00.000Z,1.3330000000000002,,35.41126251220703,1285.5164794921875,152.67227172851562,64.56636047363281,9.479687690734863,1.47,337.7,-1.49,0.36,3.42
2024-04-14T08:35:00.000Z,1.3330000000000002,,114.96516418457031,1258.5306396484375,144.90919494628906,69.67775726318361,12.538348197937012,,,,,3.5
2024-04-14T08:40:00.000Z,1.3330000000000002,,72.5970687866211,1210.9180908203125,152.24310302734375,77.25068664550781,11.68415069580078,,,,,3.58
2024-04-14T08:45:00.000Z,1.3330000000000002,,47.36894226074219,1166.220703125,161.8837432861328,78.58097076416016,11.00683307647705,1.59,340.6,-1.9,1.22,3.66
2024-04-14T08:50:00.000Z,1.3330000000000002,,92.53678894042969,1138.420654296875,167.0653533935547,81.5278091430664,12.19388198852539,,,,,3.74
2024-04-14T08:55:00.000Z,1.3330000000000002,,4.0,1205.47021484375,186.77877807617188,80.31365966796875,11.980396270751953,1.61,339.5,-2.7,1.8,3.83
2024-04-14T09:00:00.000Z,1.3330000000000002,,16.175060272216793,1285.8389892578125,188.8051605224609,86.12767791748047,12.07412052154541,1.61,339.5,-0.7,3.37,3.91
2024-04-14T09:05:00.000Z,1.3330000000000002,,36.61338806152344,1325.3743896484375,192.8928375244141,89.6866455078125,12.06579875946045,50.46,378.5,-3.59,0.41,3.99
2024-04-14T09:10:00.000Z,1.3330000000000002,,40.14397811889648,1368.84912109375,197.70013427734366,91.05017852783205,11.62551975250244,,,,,4.07
2024-04-14T09:15:00.000Z,1.3330000000000002,,73.01201629638672,1437.7855224609375,201.2593994140625,90.5748062133789,12.219281196594238,,,,,4.15
2024-04-14T09:20:00.000Z,1.3330000000000002,,92.09764099121094,1537.73974609375,204.44451904296875,90.10077667236328,11.9995698928833,1.89,347.6,-2.89,1.89,4.23
2024-04-14T09:25:00.000Z,1.3330000000000002,,65.39263153076172,1661.977783203125,214.5862274169922,101.33807373046876,12.373934745788574,,,,,4.32
2024-04-14T09:30:00.000Z,1.3330000000000002,,126.07028198242188,1776.1309814453125,214.3887023925781,95.59805297851562,12.345314979553224,,,,,4.4
2024-04-14T09:35:00.000Z,1.3330000000000002,,51.74953842163086,1769.3228759765625,217.2871398925781,96.73143005371094,12.763716697692873,,,,,4.48
2024-04-14T09:40:00.000Z,1.3330000000000002,,12.21176528930664,1818.4730224609373,217.8001708984375,100.91712188720705,13.798089981079102,,,,,4.56
2024-04-14T09:45:00.000Z,1.3330000000000002,,68.04074859619139,1846.1824951171875,217.1791839599609,106.82542419433594,13.036040306091307,1.98,344.0,-0.98,0.44,4.64
2024-04-14T09:50:00.000Z,1.3330000000000002,,66.21492767333984,1825.9095458984373,230.2973937988281,108.05884552001952,14.10713005065918,2.26,347.0,-0.62,0.65,4.72
2024-04-14T09:55:00.000Z,1.3330000000000002,,145.65916442871094,1750.510009765625,231.9761962890625,104.27542877197266,12.743510246276855,0.88,353.1,-0.21,0.03,4.81
2024-04-14T10:00:00.000Z,1.3330000000000002,,28.930377960205078,1656.2906494140625,225.9498443603516,100.4727783203125,13.53569507598877,1.11,344.9,1.07,0.65,4.89
2024-04-14T10:05:00.000Z,1.3330000000000002,,65.92456817626953,1636.9791259765625,219.33871459960938,102.73468780517578,12.480168342590332,,,,,4.97
2024-04-14T10:10:00.000Z,1.3330000000000002,,89.55950164794922,1603.3746337890625,209.4192047119141,93.85935974121094,13.023168563842773,1.11,344.9,-0.38,0.6,5.05
2024-04-14T10:15:00.000Z,1.3330000000000002,,149.80908203125,1571.744873046875,202.67904663085938,98.85521697998048,13.06739616394043,,,,,5.13
2024-04-14T10:20:00.000Z,1.3330000000000002,,19.27967071533203,1553.4140625,215.2903289794922,97.48950958251952,13.500289916992188,1.09,341.8,0.26,-0.42,5.21
2024-04-14T10:25:00.000Z,1.3330000000000002,,4.0,1573.843017578125,211.4040985107422,101.81454467773438,13.845561981201172,1.28,350.3,-0.03,0.7,5.3
2024-04-14T10:30:00.000Z,1.3330000000000002,,154.48216247558594,1587.20751953125,221.92709350585938,102.65110778808594,13.325425148010256,1.28,353.5,1.39,-1.33,5.38
2024-04-14T10:35:00.000Z,1.3330000000000002,,70.09687042236328,1594.017822265625,223.6504669189453,102.17819213867188,13.905169486999512,1.41,355.3,2.35,-1.21,5.46
2024-04-14T10:40:00.000Z,1.3330000000000002,,63.52915954589844,1590.1817626953125,216.45211791992188,99.92164611816406,13.949607849121096,1.73,357.3,2.25,-1.58,5.54
2024-04-14T10:45:00.000Z,1.3330000000000002,,97.24781036376952,1552.1370849609375,221.1399688720703,111.01985931396484,15.54814910888672,1.59,353.5,0.89,-2.52,5.62
2024-04-14T10:50:00.000Z,1.3330000000000002,,123.2543716430664,1529.9765625,230.31776428222656,120.1396026611328,14.844345092773438,,,,,5.71
2024-04-14T10:55:00.000Z,1.3330000000000002,,83.58174896240234,1552.8385009765625,225.1692657470703,114.651123046875,16.15744400024414,1.03,350.0,-4.02,-3.16,5.79
2024-04-14T11:00:00.000Z,1.3330000000000002,,160.37461853027344,1529.2611083984375,238.41017150878903,118.33979034423828,18.42401695251465,,,,,5.87
2024-04-14T11:05:00.000Z,1.3330000000000002,,147.753662109375,1567.281982421875,266.61456298828125,132.55763244628906,16.048307418823242,1.66,349.7,-3.03,-0.15,5.95
2024-04-14T11:10:00.000Z,1.3330000000000002,,179.52566528320312,1554.0810546875,280.8558959960937,134.6375732421875,18.028444290161133,,,,,6.04
2024-04-14T11:15:00.000Z,1.3330000000000002,,116.26211547851562,1525.4036865234375,279.96188354492193,133.34242248535156,19.531124114990234,,,,,6.12
2024-04-14T11:20:00.000Z,1.3330000000000002,,118.91130065917969,1507.7022705078125,282.62310791015625,128.77449035644528,17.857650756835938,1.19,356.8,-3.07,1.38,6.2
2024-04-14T11:25:00.000Z,1.3330000000000002,,232.494140625,1527.476318359375,261.0828857421875,131.26708984375,19.235671997070312,1.17,358.1,-2.64,1.03,6.28
2024-04-14T11:30:00.000Z,1.3330000000000002,,265.8856811523437,1592.7938232421875,262.45574951171875,142.9355926513672,20.041622161865234,,,,,6.37
2024-04-14T11:35:00.000Z,1.3330000000000002,,198.43165588378903,1690.9310302734375,285.8677062988281,148.32534790039062,19.60882377624512,1.25,350.1,-3.66,0.1,6.45
2024-04-14T11:40:00.000Z,1.3330000000000002,,231.72125244140625,1705.8299560546875,299.84906005859375,149.45114135742188,20.11427116394043,1.23,353.7,-3.9,-1.49,6.53
2024-04-14T11:45:00.000Z,1.3330000000000002,,191.2860870361328,1676.249267578125,293.79998779296875,138.83976745605472,20.780319213867188,1.23,357.7,-3.58,-2.18,6.61
2024-04-14T11:50:00.000Z,1.3330000000000002,,213.69454956054688,1818.21875,293.1293029785156,148.03477478027344,20.926912307739254,1.43,352.2,-3.16,-1.8,6.7
2024-04-14T11:55:00.000Z,1.3330000000000002,,302.40081787109375,1928.3179931640625,290.1581726074219,155.3683624267578,21.139741897583008,1.87,350.9,-0.63,-4.02,6.78
2024-04-14T12:00:00.000Z,1.3330000000000002,,198.4035797119141,2015.0960693359373,300.72003173828125,156.36334228515625,23.369428634643555,,,,,6.86
2024-04-14T12:05:00.000Z,1.3330000000000002,,246.92221069335938,2059.857666015625,312.28643798828125,177.7506561279297,22.43136978149414,2.51,347.3,-1.75,1.95,6.95
2024-04-14T12:10:00.000Z,1.3330000000000002,,246.59457397460938,1990.4393310546875,358.1832275390625,167.18362426757812,23.83136940002441,2.65,349.1,-1.78,1.61,7.03
2024-04-14T12:15:00.000Z,1.3330000000000002,,293.266845703125,1896.8472900390625,343.2344665527344,172.7542724609375,24.35222816467285,2.87,347.2,-2.66,0.18,7.11
2024-04-14T12:20:00.000Z,1.3330000000000002,,267.99566650390625,1752.2298583984375,340.7535400390625,162.4242401123047,23.37629508972168,2.31,350.6,-1.63,-0.27,7.2
2024-04-14T12:25:00.000Z,1.3330000000000002,,173.17745971679688,1659.449951171875,328.681396484375,167.11585998535156,24.96669769287109,3.05,342.5,-2.88,1.31,7.28
2024-04-14T12:30:00.000Z,1.3330000000000002,,280.29718017578125,1626.1060791015625,334.8410339355469,180.9297790527344,25.20157241821289,1.68,350.0,-1.86,0.18,7.36
2024-04-14T12:35:00.000Z,1.3330000000000002,,291.2832946777344,1625.7353515625,348.1132507324219,183.7617034912109,24.336076736450195,2.12,348.6,-1.61,-2.66,7.45
2024-04-14T12:40:00.000Z,1.3330000000000002,,251.3816680908203,1561.06689453125,353.37506103515625,178.78004455566406,25.295473098754893,1.37,354.5,-0.47,3.53,7.53
2024-04-14T12:45:00.000Z,1.3330000000000002,,224.45849609375,1623.530029296875,354.2215270996094,171.78939819335938,24.819536209106445,,,,,7.61
2024-04-14T12:50:00.000Z,1.3330000000000002,,82.64775085449219,1722.7412109375,359.72393798828125,174.13525390625,24.322052001953125,1.22,354.6,-3.78,-0.68,7.7
2024-04-14T12:55:00.000Z,1.3330000000000002,,277.65460205078125,1820.510986328125,347.2620849609375,180.130126953125,25.59199523925781,0.84,358.9,-2.44,1.11,7.78
2024-04-14T13:00:00.000Z,1.3330000000000002,,297.6082458496094,1893.9912109375,345.55352783203125,188.57769775390625,26.223285675048828,0.74,360.0,-1.92,2.27,7.86
2024-04-14T13:05:00.000Z,1.3330000000000002,,233.2739105224609,2018.1766357421875,359.42333984375,194.7838134765625,26.362998962402344,0.61,363.0,-1.6,2.18,7.95
2024-04-14T13:10:00.000Z,1.3330000000000002,,195.5570526123047,2084.70703125,371.6185607910156,189.73341369628903,26.950151443481445,0.37,357.3,-1.76,1.63,8.03
2024-04-14T13:15:00.000Z,1.3330000000000002,,269.06353759765625,2136.849365234375,386.4479064941406,191.1611633300781,27.66891860961914,0.29,357.3,0.02,4.03,8.12
2024-04-14T13:20:00.000Z,1.3330000000000002,,345.35345458984375,2135.625732421875,388.25140380859375,189.8936920166016,27.23643493652344,0.22,364.1,1.6,4.01,8.2
2024-04-14T13:25:00.000Z,1.3330000000000002,,335.5823059082031,2155.4990234375,394.1650695800781,197.6867218017578,27.845651626586914,0.29,368.0,2.27,4.0,8.29
2024-04-14T13:30:00.000Z,1.3330000000000002,,250.5572509765625,2165.324462890625,390.4790954589844,200.20376586914062,28.28564262390137,0.36,369.2,3.66,2.45,8.37
2024-04-14T13:35:00.000Z,1.3330000000000002,,242.4378204345703,2128.254638671875,379.15924072265625,200.9120178222656,27.72757148742676,,,,,8.46
2024-04-14T13:40:00.000Z,1.3330000000000002,,383.4334411621094,2096.017822265625,379.9040832519531,196.1902618408203,29.16419982910156,0.31,374.6,3.37,2.99,8.54
2024-04-14T13:45:00.000Z,1.3330000000000002,,337.8999328613281,2056.0732421875,385.5074462890625,194.14419555664062,28.789508819580078,,,,,8.62
2024-04-14T13:50:00.000Z,1.3330000000000002,,384.36279296875,2078.082275390625,395.93701171875,202.4882354736328,28.06356811523437,0.34,367.9,-3.34,2.04,8.71
2024-04-14T13:55:00.000Z,1.3330000000000002,,315.0688781738281,2122.034423828125,391.9575805664063,200.6646728515625,28.84815788269043,0.41,367.2,-3.31,1.93,8.79
